"date","","2022-10-01_FY","2021-10-02_FY","2020-10-03_FY","2019-09-28_FY","2018-09-30_FY"
,"","","","","",""
"CashProvidedByOperatingActivites","",,,,,
,"netIncome",3553000000,2536000000,-2442000000,10913000000,13066000000
,"depreciationAndAmortization",5163000000,5111000000,5345000000,4160000000,3011000000
,"deferredIncomeTax",200000000,-1241000000,-392000000,117000000,-1573000000
,"stockBasedCompensation",977000000,600000000,525000000,711000000,393000000
,"changeInWorkingCapital",488000000,2194000000,-645000000,-6186000000,-1360000000
,"accountsReceivables",605000000,-186000000,1786000000,445000000,-2170000000
,"inventory",-420000000,252000000,14000000,-223000000,-17000000
,"accountsPayables",964000000,2410000000,-2293000000,191000000,235000000
,"otherWorkingCapital",-661000000,-282000000,-152000000,-6599000000,592000000
,"otherNonCashItems",-4371000000,-3633000000,5227000000,-3109000000,758000000
,"netCashProvidedByOperatingActivites",6010000000,5567000000,7618000000,6606000000,14295000000
,"","","","","",""
"CashProvidedByInvestingActivites","",,,,,
,"investmentsInPropertyPlantAndEquipment",-4943000000,-3578000000,-4022000000,-4876000000,-4465000000
,"acquisitionsNet",0,0,0,-9901000000,-1581000000
,"purchasesOfInvestments",0,0,0,0,0
,"salesMaturitiesOfInvestments",0,0,0,0,0
,"otherInvestingActivites",-65000000,415000000,385000000,10659000000,710000000
,"netCashUsedForInvestingActivites",-5008000000,-3163000000,-3637000000,-4118000000,-5336000000
,"","","","","",""
"CashProvidedByFinancingingActivites","",,,,,
,"debtRepayment",-4016000000,-3737000000,-6887000000,-38881000000,-1871000000
,"commonStockIssued",127000000,0,0,0,0
,"commonStockRepurchased",0,0,0,0,-3577000000
,"dividendsPaid",0,0,-1587000000,-2895000000,-2515000000
,"otherFinancingActivites",-852000000,-648000000,16954000000,40686000000,-880000000
,"netCashUsedProvidedByFinancingActivities",-4741000000,-4385000000,8480000000,-1090000000,-8843000000
,"","","","","",""
"Other","",,,,,
,"effectOfForexChangesOnCash",-603000000,30000000,38000000,-98000000,-25000000
,"","","","","",""
"Cash&CashFlow","",,,,,
,"netChangeInCash",-4342000000,-1951000000,12499000000,1300000000,91000000
,"cashAtEndOfPeriod",11661000000,16003000000,17954000000,5455000000,4155000000
,"cashAtBeginningOfPeriod",16003000000,17954000000,5455000000,4155000000,4064000000
,"operatingCashFlow",6010000000,5567000000,7618000000,6606000000,14295000000
,"capitalExpenditure",-4943000000,-3578000000,-4022000000,-4876000000,-4465000000
,"freeCashFlow",1067000000,1989000000,3596000000,1730000000,9830000000
